OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,used,down,5,0.0,2.5,600,1000,0,1,1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))-0.096695847809314728
L,used,down_correlated,4,0.0,2.5,100,140,0,1,1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))-0.0468422691895
L,used,down_correlated,4,0.0,2.5,70,100,0,1,1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))-0.0384821196999
L,used,down_correlated,4,0.0,2.5,200,300,0,1,1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))-0.0971777071114
L,used,down_correlated,4,0.0,2.5,300,600,0,1,1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))-0.0536033641912
L,used,down_correlated,4,0.0,2.5,140,200,0,1,1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))-0.112959341489
L,used,down_correlated,4,0.0,2.5,50,70,0,1,1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))-0.017524677657
L,used,down_correlated,4,0.0,2.5,20,30,0,1,1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))-0.0503243446886
L,used,down_correlated,4,0.0,2.5,600,1000,0,1,1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))-0.0776852512237
L,used,down_correlated,4,0.0,2.5,30,50,0,1,1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))-0.0153317624105
L,used,down_correlated,5,0.0,2.5,100,140,0,1,1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))-0.0187369072424
L,used,down_correlated,5,0.0,2.5,70,100,0,1,1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))-0.0153928482858
L,used,down_correlated,5,0.0,2.5,200,300,0,1,1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))-0.0388710820227
