DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, used, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.986697+5.6664e-07*log(x+19)*log(x+18)*(3-105.134*log(x+18))+0.068220242857933044" 
1, used, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))" 
1, used, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))" 
1, used, down, 1, -2.5, 2.5, 20, 30, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))-0.085488580167293549" 
1, used, down, 1, -2.5, 2.5, 30, 50, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))-0.040247067809104919" 
1, used, down, 1, -2.5, 2.5, 50, 70, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))-0.056061446666717529" 
1, used, down, 1, -2.5, 2.5, 70, 100, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))-0.090011447668075562" 
1, used, down, 1, -2.5, 2.5, 100, 140, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))-0.14123427867889404" 
1, used, down, 1, -2.5, 2.5, 140, 200, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))-0.29833781719207764" 
1, used, down, 1, -2.5, 2.5, 200, 300, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))-0.26005309820175171" 
1, used, down, 1, -2.5, 2.5, 300, 600, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))-0.21832282841205597" 
1, used, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))-0.21624395251274109" 
1, used, down, 0, -2.5, 2.5, 20, 30, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))-0.028496192768216133" 
1, used, down, 0, -2.5, 2.5, 30, 50, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))-0.013415688648819923" 
1, used, down, 0, -2.5, 2.5, 50, 70, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))-0.01868714950978756" 
1, used, down, 0, -2.5, 2.5, 70, 100, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))-0.030003815889358521" 
1, used, down, 0, -2.5, 2.5, 100, 140, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))-0.047078091651201248" 
1, used, down, 0, -2.5, 2.5, 140, 200, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))-0.099445939064025879" 
1, used, down, 0, -2.5, 2.5, 200, 300, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))-0.086684361100196838" 
1, used, down, 0, -2.5, 2.5, 300, 600, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))-0.07277427613735199" 
1, used, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))-0.072081319987773895" 
1, used, up, 1, -2.5, 2.5, 20, 30, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))+0.085488580167293549" 
1, used, up, 1, -2.5, 2.5, 30, 50, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))+0.040247067809104919" 
1, used, up, 1, -2.5, 2.5, 50, 70, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))+0.056061446666717529" 
1, used, up, 1, -2.5, 2.5, 70, 100, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))+0.090011447668075562" 
1, used, up, 1, -2.5, 2.5, 100, 140, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))+0.14123427867889404" 
1, used, up, 1, -2.5, 2.5, 140, 200, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))+0.29833781719207764" 
1, used, up, 1, -2.5, 2.5, 200, 300, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))+0.26005309820175171" 
1, used, up, 1, -2.5, 2.5, 300, 600, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))+0.21832282841205597" 
1, used, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))+0.21624395251274109" 
1, used, up, 0, -2.5, 2.5, 20, 30, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))+0.028496192768216133" 
1, used, up, 0, -2.5, 2.5, 30, 50, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))+0.013415688648819923" 
1, used, up, 0, -2.5, 2.5, 50, 70, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))+0.01868714950978756" 
1, used, up, 0, -2.5, 2.5, 70, 100, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))+0.030003815889358521" 
1, used, up, 0, -2.5, 2.5, 100, 140, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))+0.047078091651201248" 
1, used, up, 0, -2.5, 2.5, 140, 200, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))+0.099445939064025879" 
1, used, up, 0, -2.5, 2.5, 200, 300, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))+0.086684361100196838" 
1, used, up, 0, -2.5, 2.5, 300, 600, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))+0.07277427613735199" 
1, used, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "1.0252+-0.00263732*log(x+19)*log(x+18)*(3-0.372237*log(x+18))+0.072081319987773895" 
2, used, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))" 
2, used, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))" 
2, used, down, 1, -2.5, 2.5, 20, 30, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))-0.1596544086933136" 
2, used, down, 1, -2.5, 2.5, 30, 50, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))-0.05114663764834404" 
2, used, down, 1, -2.5, 2.5, 50, 70, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))-0.088545218110084534" 
