DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, used, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(1.18938+(-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18))))))))+0.042397044599056244" 
0, used, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(1.18938+(-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18))))))))+0.063534587621688843" 
0, used, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(1.18938+(-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18))))))))+0.060683339834213257" 
0, used, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(1.18938+(-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18))))))))+0.070625744760036469" 
0, used, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(1.18938+(-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18))))))))+0.082441985607147217" 
1, used, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.17765+(-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18)))))))" 
1, used, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.17765+(-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18)))))))" 
1, used, down, 1, -2.5, 2.5, 20, 30, 0, 1, "1.17765+((-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18)))))))-0.11944220960140228)" 
1, used, down, 1, -2.5, 2.5, 30, 50, 0, 1, "1.17765+((-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18)))))))-0.040564540773630142)" 
1, used, down, 1, -2.5, 2.5, 50, 70, 0, 1, "1.17765+((-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18)))))))-0.066822618246078491)" 
1, used, down, 1, -2.5, 2.5, 70, 100, 0, 1, "1.17765+((-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18)))))))-0.098146647214889526)" 
1, used, down, 1, -2.5, 2.5, 100, 140, 0, 1, "1.17765+((-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18)))))))-0.15666231513023376)" 
1, used, down, 1, -2.5, 2.5, 140, 200, 0, 1, "1.17765+((-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18)))))))-0.15174053609371185)" 
1, used, down, 1, -2.5, 2.5, 200, 300, 0, 1, "1.17765+((-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18)))))))-0.38779795169830322)" 
1, used, down, 1, -2.5, 2.5, 300, 600, 0, 1, "1.17765+((-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18)))))))-0.22343280911445618)" 
1, used, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.17765+((-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18)))))))-0.27367359399795532)" 
1, used, down, 0, -2.5, 2.5, 20, 30, 0, 1, "1.17765+((-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18)))))))-0.039814069867134094)" 
1, used, down, 0, -2.5, 2.5, 30, 50, 0, 1, "1.17765+((-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18)))))))-0.013521513901650906)" 
1, used, down, 0, -2.5, 2.5, 50, 70, 0, 1, "1.17765+((-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18)))))))-0.022274207323789597)" 
1, used, down, 0, -2.5, 2.5, 70, 100, 0, 1, "1.17765+((-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18)))))))-0.032715547829866409)" 
1, used, down, 0, -2.5, 2.5, 100, 140, 0, 1, "1.17765+((-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18)))))))-0.052220769226551056)" 
1, used, down, 0, -2.5, 2.5, 140, 200, 0, 1, "1.17765+((-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18)))))))-0.050580177456140518)" 
1, used, down, 0, -2.5, 2.5, 200, 300, 0, 1, "1.17765+((-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18)))))))-0.12926597893238068)" 
1, used, down, 0, -2.5, 2.5, 300, 600, 0, 1, "1.17765+((-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18)))))))-0.074477605521678925)" 
1, used, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "1.17765+((-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18)))))))-0.091224536299705505)" 
1, used, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(1.17765+(-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18))))))))+0.11944220960140228" 
1, used, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(1.17765+(-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18))))))))+0.040564540773630142" 
1, used, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(1.17765+(-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18))))))))+0.066822618246078491" 
1, used, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(1.17765+(-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18))))))))+0.098146647214889526" 
1, used, up, 1, -2.5, 2.5, 100, 140, 0, 1, "(1.17765+(-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18))))))))+0.15666231513023376" 
1, used, up, 1, -2.5, 2.5, 140, 200, 0, 1, "(1.17765+(-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18))))))))+0.15174053609371185" 
1, used, up, 1, -2.5, 2.5, 200, 300, 0, 1, "(1.17765+(-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18))))))))+0.38779795169830322" 
1, used, up, 1, -2.5, 2.5, 300, 600, 0, 1, "(1.17765+(-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18))))))))+0.22343280911445618" 
1, used, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "(1.17765+(-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18))))))))+0.27367359399795532" 
1, used, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(1.17765+(-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18))))))))+0.039814069867134094" 
1, used, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(1.17765+(-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18))))))))+0.013521513901650906" 
1, used, up, 0, -2.5, 2.5, 50, 70, 0, 1, "(1.17765+(-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18))))))))+0.022274207323789597" 
1, used, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(1.17765+(-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18))))))))+0.032715547829866409" 
1, used, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(1.17765+(-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18))))))))+0.052220769226551056" 
