DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, used, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.998701+(-(0.000779789*(log(x+19)*(log(x+18)*(3-(0.431133*log(x+18))))))))+0.007388334721326828" 
0, used, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.998701+(-(0.000779789*(log(x+19)*(log(x+18)*(3-(0.431133*log(x+18))))))))+0.0073105236515402794" 
0, used, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.998701+(-(0.000779789*(log(x+19)*(log(x+18)*(3-(0.431133*log(x+18))))))))+0.012789330445230007" 
0, used, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.998701+(-(0.000779789*(log(x+19)*(log(x+18)*(3-(0.431133*log(x+18))))))))+0.030145421624183655" 
0, used, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.998701+(-(0.000779789*(log(x+19)*(log(x+18)*(3-(0.431133*log(x+18))))))))+0.080542467534542084" 
1, used, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.938414+(1.64274e-05*(log(x+19)*(log(x+18)*(3-(-(13.223*log(x+18)))))))" 
1, used, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.938414+(1.64274e-05*(log(x+19)*(log(x+18)*(3-(-(13.223*log(x+18)))))))" 
1, used, down, 1, -2.5, 2.5, 20, 30, 0, 1, "0.938414+((1.64274e-05*(log(x+19)*(log(x+18)*(3-(-(13.223*log(x+18)))))))-0.096865475177764893)" 
1, used, down, 1, -2.5, 2.5, 30, 50, 0, 1, "0.938414+((1.64274e-05*(log(x+19)*(log(x+18)*(3-(-(13.223*log(x+18)))))))-0.0297675970941782)" 
1, used, down, 1, -2.5, 2.5, 50, 70, 0, 1, "0.938414+((1.64274e-05*(log(x+19)*(log(x+18)*(3-(-(13.223*log(x+18)))))))-0.043227531015872955)" 
1, used, down, 1, -2.5, 2.5, 70, 100, 0, 1, "0.938414+((1.64274e-05*(log(x+19)*(log(x+18)*(3-(-(13.223*log(x+18)))))))-0.033702172338962555)" 
1, used, down, 1, -2.5, 2.5, 100, 140, 0, 1, "0.938414+((1.64274e-05*(log(x+19)*(log(x+18)*(3-(-(13.223*log(x+18)))))))-0.027365611866116524)" 
