OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,used,central,0,0.0,2.5,20,1000,0,1,0.433232+0.000825257*x+-2.47629e-07*x*x+11.4121/x
L,used,down,0,0.0,2.5,20,1000,0,1,(0.433232+0.000825257*x+-2.47629e-07*x*x+11.4121/x)*(1-(0.100013+-7.96026e-06*x+2.92325e-09*x*x))
L,used,down_correlated,0,0.0,2.5,20,1000,0,1,(0.433232+0.000825257*x+-2.47629e-07*x*x+11.4121/x)*(1-(0.0356051+1.87843e-05*x+-3.03118e-08*x*x))
L,used,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(0.433232+0.000825257*x+-2.47629e-07*x*x+11.4121/x)*(1-(0.0908603))
L,used,up,0,0.0,2.5,20,1000,0,1,(0.433232+0.000825257*x+-2.47629e-07*x*x+11.4121/x)*(1+(0.100013+-7.96026e-06*x+2.92325e-09*x*x))
L,used,up_correlated,0,0.0,2.5,20,1000,0,1,(0.433232+0.000825257*x+-2.47629e-07*x*x+11.4121/x)*(1+(0.0356051+1.87843e-05*x+-3.03118e-08*x*x))
L,used,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(0.433232+0.000825257*x+-2.47629e-07*x*x+11.4121/x)*(1+(0.0908603))
M,used,central,0,0.0,2.5,20,1000,0,1,0.452033+0.000974984*x+-4.12462e-07*x*x+9.68473/x
M,used,down,0,0.0,2.5,20,1000,0,1,(0.452033+0.000974984*x+-4.12462e-07*x*x+9.68473/x)*(1-(0.157113+8.03871e-05*x+-9.43901e-08*x*x))
M,used,down_correlated,0,0.0,2.5,20,1000,0,1,(0.452033+0.000974984*x+-4.12462e-07*x*x+9.68473/x)*(1-(0.0918283+0.000126264*x+-1.50781e-07*x*x))
M,used,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(0.452033+0.000974984*x+-4.12462e-07*x*x+9.68473/x)*(1-(0.128036))
