DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, used, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.882297+0.00426142*log(x+19)*log(x+18)*(3-0.411195*log(x+18))+0.065220296382904053" 
1, used, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))" 
1, used, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))" 
1, used, down, 1, -2.5, 2.5, 20, 30, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))-0.082013309001922607" 
1, used, down, 1, -2.5, 2.5, 30, 50, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))-0.028583943843841553" 
1, used, down, 1, -2.5, 2.5, 50, 70, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))-0.02318202331662178" 
1, used, down, 1, -2.5, 2.5, 70, 100, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))-0.021555807441473007" 
1, used, down, 1, -2.5, 2.5, 100, 140, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))-0.023836411535739899" 
1, used, down, 1, -2.5, 2.5, 140, 200, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))-0.025335056707262993" 
1, used, down, 1, -2.5, 2.5, 200, 300, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))-0.072879984974861145" 
1, used, down, 1, -2.5, 2.5, 300, 600, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))-0.10221889615058899" 
1, used, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))-0.19588053226470947" 
1, used, down, 0, -2.5, 2.5, 20, 30, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))-0.027337770909070969" 
1, used, down, 0, -2.5, 2.5, 30, 50, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))-0.0095279812812805176" 
1, used, down, 0, -2.5, 2.5, 50, 70, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))-0.0077273412607610226" 
1, used, down, 0, -2.5, 2.5, 70, 100, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))-0.0071852691471576691" 
1, used, down, 0, -2.5, 2.5, 100, 140, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))-0.0079454705119132996" 
1, used, down, 0, -2.5, 2.5, 140, 200, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))-0.0084450189024209976" 
1, used, down, 0, -2.5, 2.5, 200, 300, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))-0.024293329566717148" 
1, used, down, 0, -2.5, 2.5, 300, 600, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))-0.034072965383529663" 
1, used, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))-0.065293513238430023" 
1, used, up, 1, -2.5, 2.5, 20, 30, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))+0.082013309001922607" 
1, used, up, 1, -2.5, 2.5, 30, 50, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))+0.028583943843841553" 
1, used, up, 1, -2.5, 2.5, 50, 70, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))+0.02318202331662178" 
1, used, up, 1, -2.5, 2.5, 70, 100, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))+0.021555807441473007" 
1, used, up, 1, -2.5, 2.5, 100, 140, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))+0.023836411535739899" 
1, used, up, 1, -2.5, 2.5, 140, 200, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))+0.025335056707262993" 
1, used, up, 1, -2.5, 2.5, 200, 300, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))+0.072879984974861145" 
1, used, up, 1, -2.5, 2.5, 300, 600, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))+0.10221889615058899" 
1, used, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))+0.19588053226470947" 
1, used, up, 0, -2.5, 2.5, 20, 30, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))+0.027337770909070969" 
1, used, up, 0, -2.5, 2.5, 30, 50, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))+0.0095279812812805176" 
1, used, up, 0, -2.5, 2.5, 50, 70, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))+0.0077273412607610226" 
1, used, up, 0, -2.5, 2.5, 70, 100, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))+0.0071852691471576691" 
1, used, up, 0, -2.5, 2.5, 100, 140, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))+0.0079454705119132996" 
1, used, up, 0, -2.5, 2.5, 140, 200, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))+0.0084450189024209976" 
1, used, up, 0, -2.5, 2.5, 200, 300, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))+0.024293329566717148" 
1, used, up, 0, -2.5, 2.5, 300, 600, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))+0.034072965383529663" 
1, used, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.763354+0.0081767*log(x+19)*log(x+18)*(3-0.399925*log(x+18))+0.065293513238430023" 
2, used, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.716648+0.00833545*log(x+19)*log(x+18)*(3-0.370069*log(x+18))" 
2, used, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.716648+0.00833545*log(x+19)*log(x+18)*(3-0.370069*log(x+18))" 
2, used, down, 1, -2.5, 2.5, 20, 30, 0, 1, "0.716648+0.00833545*log(x+19)*log(x+18)*(3-0.370069*log(x+18))-0.14536792039871216" 
2, used, down, 1, -2.5, 2.5, 30, 50, 0, 1, "0.716648+0.00833545*log(x+19)*log(x+18)*(3-0.370069*log(x+18))-0.035873398184776306" 
2, used, down, 1, -2.5, 2.5, 50, 70, 0, 1, "0.716648+0.00833545*log(x+19)*log(x+18)*(3-0.370069*log(x+18))-0.036148715764284134" 
2, used, down, 1, -2.5, 2.5, 70, 100, 0, 1, "0.716648+0.00833545*log(x+19)*log(x+18)*(3-0.370069*log(x+18))-0.031532466411590576" 
2, used, down, 1, -2.5, 2.5, 100, 140, 0, 1, "0.716648+0.00833545*log(x+19)*log(x+18)*(3-0.370069*log(x+18))-0.034339927136898041" 
