DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, used, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.898139+0.00358631*log(x+19)*log(x+18)*(3-0.416539*log(x+18))" 
0, used, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.898139+0.00358631*log(x+19)*log(x+18)*(3-0.416539*log(x+18))" 
0, used, down, 1, -2.5, 2.5, 20, 30, 0, 1, "0.898139+0.00358631*log(x+19)*log(x+18)*(3-0.416539*log(x+18))-0.05296049639582634" 
0, used, down, 1, -2.5, 2.5, 30, 50, 0, 1, "0.898139+0.00358631*log(x+19)*log(x+18)*(3-0.416539*log(x+18))-0.013621058315038681" 
0, used, down, 1, -2.5, 2.5, 50, 70, 0, 1, "0.898139+0.00358631*log(x+19)*log(x+18)*(3-0.416539*log(x+18))-0.015553319826722145" 
0, used, down, 1, -2.5, 2.5, 70, 100, 0, 1, "0.898139+0.00358631*log(x+19)*log(x+18)*(3-0.416539*log(x+18))-0.012797590345144272" 
0, used, down, 1, -2.5, 2.5, 100, 140, 0, 1, "0.898139+0.00358631*log(x+19)*log(x+18)*(3-0.416539*log(x+18))-0.014703827910125256" 
0, used, down, 1, -2.5, 2.5, 140, 200, 0, 1, "0.898139+0.00358631*log(x+19)*log(x+18)*(3-0.416539*log(x+18))-0.017590876668691635" 
0, used, down, 1, -2.5, 2.5, 200, 300, 0, 1, "0.898139+0.00358631*log(x+19)*log(x+18)*(3-0.416539*log(x+18))-0.047036763280630112" 
0, used, down, 1, -2.5, 2.5, 300, 600, 0, 1, "0.898139+0.00358631*log(x+19)*log(x+18)*(3-0.416539*log(x+18))-0.10389770567417145" 
0, used, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.898139+0.00358631*log(x+19)*log(x+18)*(3-0.416539*log(x+18))-0.17651797831058502" 
0, used, down, 0, -2.5, 2.5, 20, 30, 0, 1, "0.898139+0.00358631*log(x+19)*log(x+18)*(3-0.416539*log(x+18))-0.021184198558330536" 
