DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, used, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))" 
0, used, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))" 
0, used, down, 1, -2.5, 2.5, 20, 30, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.053769886493682861" 
0, used, down, 1, -2.5, 2.5, 30, 50, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.015266244299709797" 
0, used, down, 1, -2.5, 2.5, 50, 70, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.033111993223428726" 
0, used, down, 1, -2.5, 2.5, 70, 100, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.03585578128695488" 
0, used, down, 1, -2.5, 2.5, 100, 140, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.056990727782249451" 
0, used, down, 1, -2.5, 2.5, 140, 200, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.16572444140911102" 
0, used, down, 1, -2.5, 2.5, 200, 300, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.17787130177021027" 
0, used, down, 1, -2.5, 2.5, 300, 600, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.13594286143779755" 
0, used, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.18480485677719116" 
0, used, down, 0, -2.5, 2.5, 20, 30, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.021507954224944115" 
0, used, down, 0, -2.5, 2.5, 30, 50, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.0061064977198839188" 
0, used, down, 0, -2.5, 2.5, 50, 70, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.013244797475636005" 
0, used, down, 0, -2.5, 2.5, 70, 100, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.014342312701046467" 
0, used, down, 0, -2.5, 2.5, 100, 140, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.02279629185795784" 
0, used, down, 0, -2.5, 2.5, 140, 200, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.06628977507352829" 
0, used, down, 0, -2.5, 2.5, 200, 300, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.071148522198200226" 
0, used, down, 0, -2.5, 2.5, 300, 600, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.054377142339944839" 
0, used, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.073921941220760345" 
0, used, up, 1, -2.5, 2.5, 20, 30, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.053769886493682861" 
0, used, up, 1, -2.5, 2.5, 30, 50, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.015266244299709797" 
0, used, up, 1, -2.5, 2.5, 50, 70, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.033111993223428726" 
0, used, up, 1, -2.5, 2.5, 70, 100, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.03585578128695488" 
0, used, up, 1, -2.5, 2.5, 100, 140, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.056990727782249451" 
0, used, up, 1, -2.5, 2.5, 140, 200, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.16572444140911102" 
0, used, up, 1, -2.5, 2.5, 200, 300, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.17787130177021027" 
0, used, up, 1, -2.5, 2.5, 300, 600, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.13594286143779755" 
0, used, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.18480485677719116" 
0, used, up, 0, -2.5, 2.5, 20, 30, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.021507954224944115" 
0, used, up, 0, -2.5, 2.5, 30, 50, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.0061064977198839188" 
0, used, up, 0, -2.5, 2.5, 50, 70, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.013244797475636005" 
0, used, up, 0, -2.5, 2.5, 70, 100, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.014342312701046467" 
0, used, up, 0, -2.5, 2.5, 100, 140, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.02279629185795784" 
0, used, up, 0, -2.5, 2.5, 140, 200, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.06628977507352829" 
0, used, up, 0, -2.5, 2.5, 200, 300, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.071148522198200226" 
0, used, up, 0, -2.5, 2.5, 300, 600, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.054377142339944839" 
0, used, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))+0.073921941220760345" 
1, used, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))" 
1, used, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))" 
1, used, down, 1, -2.5, 2.5, 20, 30, 0, 1, "0.929837+1.22988e-06*log(x+19)*log(x+18)*(3- -236.437*log(x+18))-0.091957375407218933" 
